Sentence #,Word,Tag
Sentence: 1,The,O
,novel,O
,coronavirus,O
,infected,O
,as,O
,many,O
,as,O
,171,O
,people,O
,in,O
,Florida,B-geo
,as,O
,long,O
,as,O
,two,O
,months,O
,before,O
,officials,O
,announced,O
,it,O
,had,O
,come,O
,to,O
,the,O
,state,O
,",",O
,a,O
,Palm,O
,Beach,O
,Post,O
,analysis,O
,of,O
,state,O
,records,O
,shows,O
,.,O
Sentence: 2,Patients,O
,reported,O
,symptoms,O
,of,O
,the,O
,deadly,O
,virus,O
,as,O
,early,O
,as,O
,Jan,B-tim
,.,I-tim
,1,I-tim
,",",O
,when,O
,the,O
,disease,O
,was,O
,thought,O
,to,O
,be,O
,limited,O
,to,O
,China,B-geo
,",",O
,Department,O
,of,O
,Health,O
,records,O
,reveal,O
,.,O
Sentence: 4,The,O
,records,O
,don't,O
,say,O
,if,O
,patients,O
,reported,O
,those,O
,symptoms,O
,to,O
,the,O
,state,O
,until,O
,months,O
,later,O
,or,O
,if,O
,local,O
,offices,O
,of,O
,the,O
,health,O
,department,O
,actively,O
,investigated,O
,the,O
,illnesses,O
,at,O
,the,O
,time,O
,or,O
,a,O
,combination,O
,of,O
,both,O
,.,O
Sentence: 5,The,O
,state,O
,pulled,O
,the,O
,records,O
,off,O
,its,O
,website,O
,late,O
,Monday,B-tim
,without,O
,explanation,O
,.,O
Sentence: 6,Florida,B-geo
,did,O
,not,O
,announce,O
,its,O
,first,O
,two,O
,presumed,O
,coronavirus,O
,cases,O
,until,O
,March,B-tim
,1,I-tim
,.,O
Sentence: 7,At,O
,the,O
,time,O
,",",O
,cases,O
,were,O
,not,O
,considered,O
,confirmed,O
,until,O
,reviewed,O
,by,O
,the,O
,federal,O
,Centers,O
,for,O
,Disease,O
,Control,O
,and,O
,Prevention,O
,.,O
Sentence: 8,The,O
,CDC,O
,confirmed,O
,those,O
,first,O
,two,O
,cases,O
,",",O
,in,O
,Manatee,O
,and,O
,Hillsborough,O
,counties,O
,",",O
,on,O
,March,B-tim
,2,I-tim
,.,O
Sentence: 9,The,O
,state,O
,now,O
,has,O
,recorded,O
,more,O
,than,O
,36,O
,",",O
,000,O
,cases,O
,of,O
,the,O
,deadly,O
,virus,O
,.,O
Sentence: 10,But,O
,at,O
,the,O
,time,O
,of,O
,the,O
,first,O
,two,O
,cases,O
,",",O
,171,O
,people,O
,across,O
,40,O
,counties,O
,who,O
,would,O
,later,O
,test,O
,positive,O
,for,O
,COVID,O
,19,O
,were,O
